"그룹","아티팩트","버전","classifier","타입","파일명"
"org.jboss","jboss-parent","52","","pom","jboss-parent-52.pom"
"org.jboss.logging","jboss-logging","3.6.3.Final","","jar","jboss-logging-3.6.3.Final.jar"
"org.jetbrains.kotlin","kotlin-bom","1.7.20","","pom","kotlin-bom-1.7.20.pom"
"org.jetbrains.kotlin","kotlin-bom","2.2.21","","pom","kotlin-bom-2.2.21.pom"
"org.jetbrains.kotlin","kotlin-bom","2.3.21","","pom","kotlin-bom-2.3.21.pom"
"org.jetbrains.kotlinx","kotlinx-coroutines-bom","1.10.2","","pom","kotlinx-coroutines-bom-1.10.2.pom"
"org.jetbrains.kotlinx","kotlinx-serialization-bom","1.11.0","","pom","kotlinx-serialization-bom-1.11.0.pom"
"org.jetbrains.kotlinx","kotlinx-serialization-bom","1.9.0","","pom","kotlinx-serialization-bom-1.9.0.pom"
"org.jmolecules","jmolecules-bom","2025.0.2","","pom","jmolecules-bom-2025.0.2.pom"
"org.jooq","jooq-bom","3.19.31","","pom","jooq-bom-3.19.31.pom"
"org.jooq","jooq-bom","3.21.5","","pom","jooq-bom-3.21.5.pom"
"org.jsoup","jsoup","1.18.3","","jar","jsoup-1.18.3.jar"
"org.jspecify","jspecify","1.0.0","","jar","jspecify-1.0.0.jar"
"org.junit","junit-bom","5.10.2","","pom","junit-bom-5.10.2.pom"
"org.junit","junit-bom","5.11.0-M2","","pom","junit-bom-5.11.0-M2.pom"
"org.junit","junit-bom","5.11.4","","pom","junit-bom-5.11.4.pom"
"org.junit","junit-bom","5.13.2","","pom","junit-bom-5.13.2.pom"
"org.junit","junit-bom","5.13.3","","pom","junit-bom-5.13.3.pom"
"org.junit","junit-bom","5.13.4","","pom","junit-bom-5.13.4.pom"
"org.junit","junit-bom","5.14.1","","pom","junit-bom-5.14.1.pom"
"org.junit","junit-bom","5.14.2","","pom","junit-bom-5.14.2.pom"
"org.junit","junit-bom","6.0.3","","pom","junit-bom-6.0.3.pom"
"org.junit.jupiter","junit-jupiter","6.0.3","","jar","junit-jupiter-6.0.3.jar"
"org.junit.jupiter","junit-jupiter-api","6.0.3","","jar","junit-jupiter-api-6.0.3.jar"
"org.junit.jupiter","junit-jupiter-engine","6.0.3","","jar","junit-jupiter-engine-6.0.3.jar"
"org.junit.jupiter","junit-jupiter-params","6.0.3","","jar","junit-jupiter-params-6.0.3.jar"
"org.junit.platform","junit-platform-commons","6.0.3","","jar","junit-platform-commons-6.0.3.jar"
"org.junit.platform","junit-platform-engine","6.0.3","","jar","junit-platform-engine-6.0.3.jar"
"org.junit.platform","junit-platform-launcher","6.0.3","","jar","junit-platform-launcher-6.0.3.jar"
"org.mockito","mockito-bom","4.11.0","","pom","mockito-bom-4.11.0.pom"
"org.mockito","mockito-bom","5.20.0","","pom","mockito-bom-5.20.0.pom"
"org.mockito","mockito-bom","5.23.0","","pom","mockito-bom-5.23.0.pom"
"org.mockito","mockito-core","5.23.0","","jar","mockito-core-5.23.0.jar"
"org.mockito","mockito-junit-jupiter","5.23.0","","jar","mockito-junit-jupiter-5.23.0.jar"
"org.mongodb","mongodb-driver-bom","5.6.4","","pom","mongodb-driver-bom-5.6.4.pom"
"org.mongodb","mongodb-driver-bom","5.8.0","","pom","mongodb-driver-bom-5.8.0.pom"
"org.neo4j.bolt","neo4j-bolt-connection-bom","10.1.1","","pom","neo4j-bolt-connection-bom-10.1.1.pom"
"org.neo4j.bolt","neo4j-bolt-connection-bom","11.0.2","","pom","neo4j-bolt-connection-bom-11.0.2.pom"
"org.neo4j.driver","neo4j-java-driver-bom","6.0.3","","pom","neo4j-java-driver-bom-6.0.3.pom"
