"groupId","artifactId","version","type","classifier"
"org.springframework.boot","spring-boot-restdocs","4.0.5","jar",""
"org.springframework.boot","spring-boot-resttestclient","4.0.5","jar",""
"org.springframework.boot","spring-boot-security","4.0.5","jar",""
"org.springframework.boot","spring-boot-security-test","4.0.5","jar",""
"org.springframework.boot","spring-boot-servlet","4.0.5","jar",""
"org.springframework.boot","spring-boot-sql","4.0.5","jar",""
"org.springframework.boot","spring-boot-starter","4.0.5","jar",""
"org.springframework.boot","spring-boot-starter-actuator","4.0.5","jar",""
"org.springframework.boot","spring-boot-starter-actuator-test","4.0.5","jar",""
"org.springframework.boot","spring-boot-starter-data-jpa","4.0.5","jar",""
"org.springframework.boot","spring-boot-starter-data-jpa-test","4.0.5","jar",""
"org.springframework.boot","spring-boot-starter-jackson","4.0.5","jar",""
"org.springframework.boot","spring-boot-starter-jackson-test","4.0.5","jar",""
"org.springframework.boot","spring-boot-starter-jdbc","4.0.5","jar",""
"org.springframework.boot","spring-boot-starter-jdbc-test","4.0.5","jar",""
"org.springframework.boot","spring-boot-starter-logging","4.0.5","jar",""
"org.springframework.boot","spring-boot-starter-micrometer-metrics","4.0.5","jar",""
"org.springframework.boot","spring-boot-starter-micrometer-metrics-test","4.0.5","jar",""
"org.springframework.boot","spring-boot-starter-security","4.0.5","jar",""
"org.springframework.boot","spring-boot-starter-security-test","4.0.5","jar",""
"org.springframework.boot","spring-boot-starter-test","4.0.5","jar",""
"org.springframework.boot","spring-boot-starter-tomcat","4.0.5","jar",""
"org.springframework.boot","spring-boot-starter-tomcat-runtime","4.0.5","jar",""
"org.springframework.boot","spring-boot-starter-validation","4.0.5","jar",""
"org.springframework.boot","spring-boot-starter-web","4.0.5","jar",""
"org.springframework.boot","spring-boot-starter-webmvc","4.0.5","jar",""
"org.springframework.boot","spring-boot-starter-webmvc-test","4.0.5","jar",""
"org.springframework.boot","spring-boot-test","4.0.5","jar",""
"org.springframework.boot","spring-boot-test-autoconfigure","4.0.5","jar",""
"org.springframework.boot","spring-boot-tomcat","4.0.5","jar",""
"org.springframework.boot","spring-boot-transaction","4.0.5","jar",""
"org.springframework.boot","spring-boot-validation","4.0.5","jar",""
"org.springframework.boot","spring-boot-webmvc","4.0.5","jar",""
"org.springframework.boot","spring-boot-webmvc-test","4.0.5","jar",""
"org.springframework.boot","spring-boot-web-server","4.0.5","jar",""
"org.springframework.data","spring-data-commons","4.0.4","jar",""
"org.springframework.data","spring-data-jpa","4.0.4","jar",""
"org.springframework.restdocs","spring-restdocs-core","4.0.0","jar",""
"org.springframework.restdocs","spring-restdocs-mockmvc","4.0.0","jar",""
"org.springframework.security","spring-security-config","7.0.4","jar",""
"org.springframework.security","spring-security-core","7.0.4","jar",""
"org.springframework.security","spring-security-crypto","7.0.4","jar",""
"org.springframework.security","spring-security-test","7.0.4","jar",""
"org.springframework.security","spring-security-web","7.0.4","jar",""
"org.tomlj","tomlj","1.0.0","jar",""
"org.tukaani","xz","1.6","jar",""
"org.webjars","swagger-ui","5.32.2","jar",""
"org.webjars","webjars-locator-lite","1.1.3","jar",""
"org.xmlunit","xmlunit-core","2.10.4","jar",""
"org.yaml","snakeyaml","2.5","jar",""
"org.ysb33r.gradle","grolifant40","3.0.1","jar",""
"org.ysb33r.gradle","grolifant40-legacy-api","3.0.1","jar",""
"org.ysb33r.gradle","grolifant50","3.0.1","jar",""
"org.ysb33r.gradle","grolifant60","3.0.1","jar",""
"org.ysb33r.gradle","grolifant70","3.0.1","jar",""
"org.ysb33r.gradle","grolifant80","3.0.1","jar",""
"org.ysb33r.gradle","grolifant-core","3.0.1","jar",""
"org.ysb33r.gradle","grolifant-herd","3.0.1","jar",""
"org.ysb33r.gradle","grolifant-rawhide","3.0.1","jar",""
"tools.jackson.core","jackson-core","3.1.0","jar",""
"tools.jackson.core","jackson-databind","3.1.0","jar",""
